date,country_code,device_code,app_id,product_id,category_id,category_name,store_product_rank_free,store_product_rank_paid,store_product_rank_grossing,store_product_rank_new_free,store_product_rank_new_paid,app_name,product_name,company_name,publisher_name,market_code
2024-11-30,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,88,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-01,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,62,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-02,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,66,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-03,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,71,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-04,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,73,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-05,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,69,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-06,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,67,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-07,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,68,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-08,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,67,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-09,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,68,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-10,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,73,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-11,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,78,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-12,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,84,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-13,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,80,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-14,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,82,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-15,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,66,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-16,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,64,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-17,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,64,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-18,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,69,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-19,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,55,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-20,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,48,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-21,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,41,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-22,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,46,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-23,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,66,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-24,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,47,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-25,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,41,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-26,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,42,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-27,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,42,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-28,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,49,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-29,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,53,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-30,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,66,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-12-31,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,46,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-14,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,24,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-15,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,44,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
